[12/18/2021 - 04:21:22AM] TrueArmor log opened (PC)
[12/18/2021 - 04:21:22AM] [TA_Status] OnGameReload: Notifying managers.
[12/18/2021 - 04:21:32AM] [TA_Status] Found Dawnguard DLC, creating compatibility by adding keywords to lists.
[12/18/2021 - 04:21:32AM] [TA_Status] Found Dragonborn DLC, creating compatibility by adding keywords to lists.
[12/18/2021 - 04:21:32AM] [TA_Status] Could not find Immersive Armors, skipping dynamic compatibility for it.
[12/18/2021 - 04:21:32AM] [TA_Status] ArmorManager: UpdateAllScaledArrays. Processing...
[12/18/2021 - 04:21:40AM] [TA_Status] OnGameReload: Managers completed work.
[12/18/2021 - 04:21:40AM] [TA_Status] Incrementing ModMenu update number. Is now: 4
[12/18/2021 - 04:22:24AM] [TA_Status] Currently registered actors in shutdown phase: 0
[12/18/2021 - 04:22:54AM] [TA_Status] Currently registered actors in shutdown phase: 0
[12/18/2021 - 04:23:41AM] [TA_Status] Currently registered actors in shutdown phase: 0
[12/18/2021 - 04:24:23AM] [TA_Status] Currently registered actors in shutdown phase: 0
[12/18/2021 - 04:24:52AM] [TA_Status] Currently registered actors in shutdown phase: 0
[12/18/2021 - 04:25:04AM] [TA_Status] Currently registered actors in shutdown phase: 0
[12/18/2021 - 04:25:52AM] [TA_Status] Currently registered actors in shutdown phase: 0
[12/18/2021 - 04:26:05AM] [TA_Status] Currently registered actors in shutdown phase: 0
